Wavelength (nm),Red Lead
0.653,0.992295
0.654,0.993112
0.655,0.994151
0.656,0.99523
0.657,0.996069
0.658,0.996938
0.659,0.99778
0.66,0.9985
0.661,0.998986
0.662,0.999456
0.663,0.999909
0.664,1.000306
0.665,1.000693
0.666,1.001085
0.667,1.001499
0.668,1.00194
0.669,1.002347
0.67,1.002763
0.671,1.003301
0.672,1.004202
0.673,1.004979
0.674,1.005479
0.675,1.005817
0.676,1.006721
0.677,1.007572
0.678,1.008148
0.679,1.008597
0.68,1.008937
0.681,1.009386
0.682,1.009971
0.683,1.010287
0.684,1.0106
0.685,1.010952
0.686,1.011306
0.687,1.011615
0.688,1.012004
0.689,1.012477
0.69,1.012928
0.691,1.013414
0.692,1.013741
0.693,1.014008
0.694,1.015113
0.695,1.016147
0.696,1.016831
0.697,1.017236
0.698,1.01789
0.699,1.018466
0.7,1.018955
0.701,1.019664
0.702,1.019812
0.703,1.019849
0.704,1.020137
0.705,1.020259
0.706,1.020342
0.707,1.02045
0.708,1.020616
0.709,1.020732
0.71,1.020974
0.711,1.02139
0.712,1.021878
0.713,1.02236
0.714,1.022906
0.715,1.023575
0.716,1.024353
0.717,1.024884
0.718,1.025196
0.719,1.025523
0.72,1.026193
0.721,1.027016
0.722,1.02763
0.723,1.027607
0.724,1.027688
0.725,1.027897
0.726,1.028214
0.727,1.028908
0.728,1.029415
0.729,1.029602
0.73,1.029561
0.731,1.029487
0.732,1.029597
0.733,1.029915
0.734,1.0303
0.735,1.030959
0.736,1.031533
0.737,1.031877
0.738,1.032461
0.739,1.033423
0.74,1.034408
0.741,1.03495
0.742,1.035022
0.743,1.035238
0.744,1.035731
0.745,1.036211
0.746,1.036716
0.747,1.037183
0.748,1.037471
0.749,1.037324
0.75,1.037098
0.751,1.037119
0.752,1.037457
0.753,1.037236
0.754,1.037283
0.755,1.03756
0.756,1.037546
0.757,1.038162
0.758,1.039014
0.759,1.039733
0.76,1.040231
0.761,1.040669
0.762,1.04119
0.763,1.041863
0.764,1.042594
0.765,1.043177
0.766,1.043653
0.767,1.044181
0.768,1.04473
0.769,1.045237
0.77,1.045605
0.771,1.045727
0.772,1.045655
0.773,1.045805
0.774,1.046255
0.775,1.04619
0.776,1.046085
0.777,1.045986
0.778,1.045892
0.779,1.046203
0.78,1.046709
0.781,1.047222
0.782,1.047621
0.783,1.048035
0.784,1.048331
0.785,1.048576
0.786,1.049153
0.787,1.049836
0.788,1.050506
0.789,1.051076
0.79,1.05146
0.791,1.051961
0.792,1.052544
0.793,1.05304
0.794,1.053507
0.795,1.053866
0.796,1.054121
0.797,1.054353
0.798,1.054572
0.799,1.054635
0.8,1.054593
0.801,1.05486
0.802,1.0552
0.803,1.055331
0.804,1.055208
0.805,1.055582
0.806,1.05601
0.807,1.056348
0.808,1.056627
0.809,1.056939
0.81,1.05743
0.811,1.058095
0.812,1.058775
0.813,1.059363
0.814,1.059747
0.815,1.059992
0.816,1.060428
0.817,1.06096
0.818,1.061374
0.819,1.061582
0.82,1.061979
0.821,1.062437
0.822,1.062719
0.823,1.062693
0.824,1.063068
0.825,1.063148
0.826,1.062977
0.827,1.063165
0.828,1.063253
0.829,1.063207
0.83,1.063147
0.831,1.063313
0.832,1.063436
0.833,1.063405
0.834,1.063283
0.835,1.063418
0.836,1.063544
0.837,1.063715
0.838,1.064044
0.839,1.064467
0.84,1.064907
0.841,1.065238
0.842,1.065421
0.843,1.066051
0.844,1.066604
0.845,1.066976
0.846,1.067482
0.847,1.068024
0.848,1.068403
0.849,1.068659
0.85,1.069144
0.851,1.069565
0.852,1.069723
0.853,1.069652
0.854,1.06983
0.855,1.06969
0.856,1.069356
0.857,1.0691
0.858,1.068924
0.859,1.068933
0.86,1.068967
0.861,1.068823
0.862,1.068713
0.863,1.068571
0.864,1.068469
0.865,1.068547
0.866,1.06871
0.867,1.068734
0.868,1.068718
0.869,1.069036
0.87,1.069321
0.871,1.069649
0.872,1.070074
0.873,1.070531
0.874,1.070888
0.875,1.071186
0.876,1.071409
0.877,1.071348
0.878,1.071371
0.879,1.071621
0.88,1.072038
0.881,1.072246
0.882,1.072295
0.883,1.072286
0.884,1.072308
0.885,1.072276
0.886,1.072338
0.887,1.072297
0.888,1.071925
0.889,1.071619
0.89,1.071504
0.891,1.071704
0.892,1.072234
0.893,1.072639
0.894,1.072518
0.895,1.072098
0.896,1.07199
0.897,1.071667
0.898,1.071366
0.899,1.071266
0.9,1.07136
0.901,1.071351
0.902,1.071497
0.903,1.071778
0.904,1.071766
0.905,1.071776
0.906,1.071966
0.907,1.072333
0.908,1.072668
0.909,1.072571
0.91,1.072449
0.911,1.072613
0.912,1.07287
0.913,1.073133
0.914,1.073482
0.915,1.07392
0.916,1.074199
0.917,1.074503
0.918,1.074823
0.919,1.075136
0.92,1.075508
0.921,1.076117
0.922,1.076628
0.923,1.076753
0.924,1.076745
0.925,1.076806
0.926,1.076867
0.927,1.076831
0.928,1.076824
0.929,1.076848
0.93,1.076893
0.931,1.077004
0.932,1.077444
0.933,1.077534
0.934,1.077522
0.935,1.077814
0.936,1.078158
0.937,1.078342
0.938,1.078698
0.939,1.079466
0.94,1.079888
0.941,1.080134
0.942,1.080446
0.943,1.080994
0.944,1.081615
0.945,1.08236
0.946,1.082932
0.947,1.083216
0.948,1.084048
0.949,1.085055
0.95,1.085726
0.951,1.085839
0.952,1.086152
0.953,1.086411
0.954,1.086556
0.955,1.086673
0.956,1.087131
0.957,1.087205
0.958,1.087045
0.959,1.086965
0.96,1.086945
0.961,1.08654
0.962,1.086309
0.963,1.086561
0.964,1.086404
0.965,1.086495
0.966,1.086495
0.967,1.086181
0.968,1.086012
0.969,1.085436
0.97,1.085324
0.971,1.085811
0.972,1.085446
0.973,1.085082
0.974,1.084995
0.975,1.085137
0.976,1.085191
0.977,1.085285
0.978,1.085517
0.979,1.085802
0.98,1.085897
0.981,1.085977
0.982,1.086387
0.983,1.086907
0.984,1.086996
0.985,1.087471
0.986,1.088141
0.987,1.088732
0.988,1.089073
0.989,1.089449
0.99,1.089603
0.991,1.089931
0.992,1.090839
0.993,1.09144
0.994,1.091972
0.995,1.092648
0.996,1.093436
0.997,1.093666
0.998,1.094053
0.999,1.09438
1.0,1.094712
1.001,1.019614
1.002,1.01973
1.003,1.019873
1.004,1.019967
1.005,1.020017
1.006,1.02015
1.007,1.020285
1.008,1.020471
1.009,1.020704
1.01,1.020836
1.011,1.020957
1.012,1.021118
1.013,1.021239
1.014,1.021434
1.015,1.02167
1.016,1.021907
1.017,1.022193
1.018,1.02257
1.019,1.022864
1.02,1.023125
1.021,1.023464
1.022,1.023763
1.023,1.024158
1.024,1.024579
1.025,1.024915
1.026,1.025301
1.027,1.025681
1.028,1.026067
1.029,1.026451
1.03,1.026725
1.031,1.026973
1.032,1.027199
1.033,1.027382
1.034,1.027531
1.035,1.027671
1.036,1.02775
1.037,1.027795
1.038,1.027822
1.039,1.027737
1.04,1.027628
1.041,1.027473
1.042,1.027299
1.043,1.027108
1.044,1.026835
1.045,1.026551
1.046,1.026246
1.047,1.025965
1.048,1.025761
1.049,1.025465
1.05,1.02514
1.051,1.02477
1.052,1.024391
1.053,1.024007
1.054,1.023632
1.055,1.023292
1.056,1.022887
1.057,1.022438
1.058,1.022068
1.059,1.021669
1.06,1.021256
1.061,1.020921
1.062,1.020528
1.063,1.02015
1.064,1.019759
1.065,1.019473
1.066,1.01915
1.067,1.018809
1.068,1.018447
1.069,1.017979
1.07,1.017497
1.071,1.017083
1.072,1.016707
1.073,1.016344
1.074,1.016075
1.075,1.015846
1.076,1.015612
1.077,1.015397
1.078,1.015158
1.079,1.014904
1.08,1.014607
1.081,1.014281
1.082,1.013996
1.083,1.013784
1.084,1.013592
1.085,1.013426
1.086,1.013279
1.087,1.013048
1.088,1.012765
1.089,1.01256
1.09,1.012388
1.091,1.012197
1.092,1.01207
1.093,1.011962
1.094,1.011851
1.095,1.011776
1.096,1.011769
1.097,1.01172
1.098,1.011618
1.099,1.011569
1.1,1.011508
1.101,1.011476
1.102,1.011514
1.103,1.01154
1.104,1.011583
1.105,1.011674
1.106,1.011833
1.107,1.011988
1.108,1.012148
1.109,1.012357
1.11,1.012539
1.111,1.01269
1.112,1.012875
1.113,1.013088
1.114,1.013257
1.115,1.013452
1.116,1.01369
1.117,1.013907
1.118,1.014137
1.119,1.014343
1.12,1.014522
1.121,1.014729
1.122,1.014938
1.123,1.015165
1.124,1.015375
1.125,1.015569
1.126,1.015742
1.127,1.015932
1.128,1.01612
1.129,1.016289
1.13,1.01648
1.131,1.016616
1.132,1.016702
1.133,1.016778
1.134,1.016791
1.135,1.016718
1.136,1.016601
1.137,1.016493
1.138,1.016313
1.139,1.016133
1.14,1.015952
1.141,1.015717
1.142,1.015499
1.143,1.015348
1.144,1.015054
1.145,1.014678
1.146,1.014307
1.147,1.01387
1.148,1.013407
1.149,1.012977
1.15,1.012543
1.151,1.012064
1.152,1.011626
1.153,1.011176
1.154,1.010669
1.155,1.010165
1.156,1.009622
1.157,1.009106
1.158,1.008592
1.159,1.008101
1.16,1.007623
1.161,1.007136
1.162,1.006649
1.163,1.006175
1.164,1.005731
1.165,1.005259
1.166,1.004804
1.167,1.004301
1.168,1.003756
1.169,1.003189
1.17,1.002585
1.171,1.001987
1.172,1.00141
1.173,1.000752
1.174,1.000079
1.175,0.999363
1.176,0.99868
1.177,0.997998
1.178,0.997298
1.179,0.996616
1.18,0.995889
1.181,0.995121
1.182,0.994319
1.183,0.993451
1.184,0.992657
1.185,0.991858
1.186,0.99107
1.187,0.990348
1.188,0.989628
1.189,0.988921
1.19,0.988218
1.191,0.987534
1.192,0.986887
1.193,0.986293
1.194,0.985716
1.195,0.985219
1.196,0.984803
1.197,0.984394
1.198,0.98402
1.199,0.983675
1.2,0.983353
1.201,0.983081
1.202,0.982869
1.203,0.982659
1.204,0.982469
1.205,0.982316
1.206,0.982175
1.207,0.982053
1.208,0.981976
1.209,0.981917
1.21,0.981881
1.211,0.981874
1.212,0.981869
1.213,0.981882
1.214,0.981914
1.215,0.981945
1.216,0.982021
1.217,0.982126
1.218,0.98226
1.219,0.982449
1.22,0.982626
1.221,0.98282
1.222,0.983031
1.223,0.983271
1.224,0.983479
1.225,0.983693
1.226,0.98388
1.227,0.984045
1.228,0.984248
1.229,0.984467
1.23,0.984703
1.231,0.984984
1.232,0.985317
1.233,0.9856
1.234,0.98589
1.235,0.986195
1.236,0.986501
1.237,0.986773
1.238,0.987085
1.239,0.98734
1.24,0.987524
1.241,0.987707
1.242,0.98785
1.243,0.988026
1.244,0.988197
1.245,0.988356
1.246,0.988596
1.247,0.98886
1.248,0.989084
1.249,0.98936
1.25,0.989663
1.251,0.989987
1.252,0.990305
1.253,0.990687
1.254,0.991001
1.255,0.991257
1.256,0.991556
1.257,0.991896
1.258,0.99216
1.259,0.992448
1.26,0.992635
1.261,0.992728
1.262,0.992798
1.263,0.992811
1.264,0.992789
1.265,0.992715
1.266,0.992621
1.267,0.992483
1.268,0.99233
1.269,0.99216
1.27,0.991992
1.271,0.991734
1.272,0.991427
1.273,0.991103
1.274,0.990728
1.275,0.990314
1.276,0.989889
1.277,0.989402
1.278,0.988789
1.279,0.988273
1.28,0.987781
1.281,0.987268
1.282,0.9868
1.283,0.986285
1.284,0.985719
1.285,0.985163
1.286,0.984586
1.287,0.984032
1.288,0.98348
1.289,0.982936
1.29,0.982406
1.291,0.98191
1.292,0.981428
1.293,0.980984
1.294,0.98049
1.295,0.979991
1.296,0.979506
1.297,0.978996
1.298,0.978501
1.299,0.978042
1.3,0.977555
1.301,0.977038
1.302,0.976545
1.303,0.976049
1.304,0.975583
1.305,0.975129
1.306,0.974696
1.307,0.974272
1.308,0.973893
1.309,0.973544
1.31,0.973218
1.311,0.972909
1.312,0.972663
1.313,0.972447
1.314,0.972233
1.315,0.972068
1.316,0.971958
1.317,0.971833
1.318,0.97173
1.319,0.97162
1.32,0.971512
1.321,0.971417
1.322,0.97134
1.323,0.97124
1.324,0.971143
1.325,0.971034
1.326,0.970921
1.327,0.970779
1.328,0.970647
1.329,0.970462
1.33,0.970213
1.331,0.969981
1.332,0.969739
1.333,0.969476
1.334,0.969208
1.335,0.968928
1.336,0.968627
1.337,0.96831
1.338,0.967989
1.339,0.967674
1.34,0.967308
1.341,0.966917
1.342,0.9665
1.343,0.966047
1.344,0.965585
1.345,0.965099
1.346,0.964604
1.347,0.964073
1.348,0.96357
1.349,0.963051
1.35,0.962567
1.351,0.962109
1.352,0.961649
1.353,0.961217
1.354,0.960761
1.355,0.960289
1.356,0.959826
1.357,0.959375
1.358,0.958892
1.359,0.9584
1.36,0.9579
1.361,0.957348
1.362,0.956833
1.363,0.956337
1.364,0.955842
1.365,0.955371
1.366,0.954917
1.367,0.954479
1.368,0.954053
1.369,0.953649
1.37,0.953252
1.371,0.952904
1.372,0.952578
1.373,0.952294
1.374,0.952067
1.375,0.95183
1.376,0.951672
1.377,0.951393
1.378,0.951104
1.379,0.950723
1.38,0.950272
1.381,0.949736
1.382,0.94915
1.383,0.948466
1.384,0.947706
1.385,0.946841
1.386,0.945899
1.387,0.944852
1.388,0.943709
1.389,0.94245
1.39,0.941115
1.391,0.939635
1.392,0.938011
1.393,0.936293
1.394,0.934465
1.395,0.932544
1.396,0.930432
1.397,0.928189
1.398,0.925837
1.399,0.923306
1.4,0.92073
1.401,0.918081
1.402,0.915329
1.403,0.912446
1.404,0.909539
1.405,0.906556
1.406,0.903533
1.407,0.900474
1.408,0.897326
1.409,0.894103
1.41,0.890835
1.411,0.887486
1.412,0.884104
1.413,0.880636
1.414,0.877203
1.415,0.87371
1.416,0.87027
1.417,0.866824
1.418,0.863453
1.419,0.860104
1.42,0.856817
1.421,0.853562
1.422,0.850409
1.423,0.847306
1.424,0.844297
1.425,0.841379
1.426,0.838551
1.427,0.835837
1.428,0.833198
1.429,0.830693
1.43,0.828297
1.431,0.826044
1.432,0.823922
1.433,0.821874
1.434,0.819953
1.435,0.818118
1.436,0.816342
1.437,0.814714
1.438,0.81324
1.439,0.81181
1.44,0.810485
1.441,0.809213
1.442,0.807991
1.443,0.80688
1.444,0.805846
1.445,0.804916
1.446,0.804097
1.447,0.803352
1.448,0.802728
1.449,0.802128
1.45,0.801601
1.451,0.801117
1.452,0.800698
1.453,0.800291
1.454,0.799939
1.455,0.799596
1.456,0.799243
1.457,0.798948
1.458,0.798689
1.459,0.798474
1.46,0.79832
1.461,0.798185
1.462,0.798086
1.463,0.798016
1.464,0.797974
1.465,0.797956
1.466,0.797976
1.467,0.798038
1.468,0.798107
1.469,0.798207
1.47,0.798316
1.471,0.798432
1.472,0.798593
1.473,0.798784
1.474,0.798997
1.475,0.799232
1.476,0.799516
1.477,0.79982
1.478,0.800185
1.479,0.8006
1.48,0.801069
1.481,0.801612
1.482,0.802149
1.483,0.802743
1.484,0.803319
1.485,0.803901
1.486,0.804476
1.487,0.805058
1.488,0.805636
1.489,0.806198
1.49,0.806774
1.491,0.807374
1.492,0.807946
1.493,0.808499
1.494,0.809065
1.495,0.80961
1.496,0.810179
1.497,0.810756
1.498,0.81136
1.499,0.811993
1.5,0.812623
1.501,0.813286
1.502,0.813928
1.503,0.814567
1.504,0.815186
1.505,0.815788
1.506,0.816382
1.507,0.816972
1.508,0.817528
1.509,0.818062
1.51,0.818581
1.511,0.819065
1.512,0.819538
1.513,0.820011
1.514,0.820472
1.515,0.820946
1.516,0.82141
1.517,0.821902
1.518,0.822412
1.519,0.822927
1.52,0.82348
1.521,0.823962
1.522,0.824444
1.523,0.824857
1.524,0.825203
1.525,0.825552
1.526,0.825884
1.527,0.826163
1.528,0.826405
1.529,0.826629
1.53,0.826797
1.531,0.826976
1.532,0.827156
1.533,0.827303
1.534,0.827413
1.535,0.827538
1.536,0.827647
1.537,0.827763
1.538,0.827881
1.539,0.82801
1.54,0.828149
1.541,0.828276
1.542,0.828426
1.543,0.828534
1.544,0.828588
1.545,0.828688
1.546,0.828761
1.547,0.828899
1.548,0.82909
1.549,0.829289
1.55,0.82956
1.551,0.829763
1.552,0.829953
1.553,0.830126
1.554,0.830269
1.555,0.830383
1.556,0.830469
1.557,0.830562
1.558,0.830625
1.559,0.830688
1.56,0.830777
1.561,0.830824
1.562,0.830781
1.563,0.83083
1.564,0.830893
1.565,0.831
1.566,0.831183
1.567,0.831367
1.568,0.831549
1.569,0.831786
1.57,0.832069
1.571,0.832376
1.572,0.832749
1.573,0.833105
1.574,0.833498
1.575,0.833855
1.576,0.8342
1.577,0.834524
1.578,0.834793
1.579,0.835093
1.58,0.835387
1.581,0.835703
1.582,0.836024
1.583,0.836384
1.584,0.836762
1.585,0.837178
1.586,0.83763
1.587,0.838082
1.588,0.838532
1.589,0.839
1.59,0.839473
1.591,0.839986
1.592,0.840531
1.593,0.84106
1.594,0.841577
1.595,0.842114
1.596,0.842671
1.597,0.843217
1.598,0.843776
1.599,0.844354
1.6,0.844911
1.601,0.845462
1.602,0.845982
1.603,0.846492
1.604,0.846999
1.605,0.847509
1.606,0.848115
1.607,0.848743
1.608,0.849372
1.609,0.85003
1.61,0.850648
1.611,0.851284
1.612,0.851979
1.613,0.85269
1.614,0.853397
1.615,0.854073
1.616,0.854705
1.617,0.85536
1.618,0.856043
1.619,0.856756
1.62,0.857499
1.621,0.85818
1.622,0.858872
1.623,0.85957
1.624,0.860214
1.625,0.860849
1.626,0.861443
1.627,0.862021
1.628,0.862573
1.629,0.863093
1.63,0.86356
1.631,0.86397
1.632,0.864401
1.633,0.864857
1.634,0.865329
1.635,0.86581
1.636,0.866267
1.637,0.86677
1.638,0.867376
1.639,0.868009
1.64,0.868684
1.641,0.869372
1.642,0.869985
1.643,0.870589
1.644,0.871211
1.645,0.871806
1.646,0.872428
1.647,0.87308
1.648,0.873709
1.649,0.874355
1.65,0.875019
1.651,0.87563
1.652,0.876232
1.653,0.876832
1.654,0.877364
1.655,0.877882
1.656,0.878373
1.657,0.878804
1.658,0.879193
1.659,0.879563
1.66,0.879931
1.661,0.880303
1.662,0.880641
1.663,0.880933
1.664,0.881168
1.665,0.881261
1.666,0.881245
1.667,0.881153
1.668,0.880959
1.669,0.880732
1.67,0.880526
1.671,0.880338
1.672,0.880145
1.673,0.879926
1.674,0.879686
1.675,0.879425
1.676,0.879125
1.677,0.878843
1.678,0.878577
1.679,0.878279
1.68,0.877955
1.681,0.877625
1.682,0.877276
1.683,0.876832
1.684,0.876385
1.685,0.875945
1.686,0.875483
1.687,0.875086
1.688,0.874653
1.689,0.874267
1.69,0.873967
1.691,0.873692
1.692,0.873561
1.693,0.873417
1.694,0.873198
1.695,0.872946
1.696,0.872638
1.697,0.872314
1.698,0.871978
1.699,0.87166
1.7,0.871325
1.701,0.871011
1.702,0.870707
1.703,0.870387
1.704,0.870034
1.705,0.869738
1.706,0.86948
1.707,0.869225
1.708,0.869028
1.709,0.868775
1.71,0.868497
1.711,0.868202
1.712,0.867854
1.713,0.86755
1.714,0.867258
1.715,0.866941
1.716,0.866631
1.717,0.866326
1.718,0.866014
1.719,0.865721
1.72,0.865473
1.721,0.865162
1.722,0.864822
1.723,0.864441
1.724,0.864001
1.725,0.863594
1.726,0.863151
1.727,0.86279
1.728,0.86249
1.729,0.862151
1.73,0.861831
1.731,0.861467
1.732,0.861154
1.733,0.860938
1.734,0.860715
1.735,0.860591
1.736,0.860515
1.737,0.860425
1.738,0.860404
1.739,0.860354
1.74,0.860218
1.741,0.860091
1.742,0.859963
1.743,0.859844
1.744,0.859807
1.745,0.859768
1.746,0.859734
1.747,0.859743
1.748,0.859666
1.749,0.859663
1.75,0.859716
1.751,0.859633
1.752,0.859658
1.753,0.859671
1.754,0.859571
1.755,0.859568
1.756,0.859493
1.757,0.859296
1.758,0.859098
1.759,0.858801
1.76,0.858504
1.761,0.858353
1.762,0.858143
1.763,0.857971
1.764,0.857964
1.765,0.857879
1.766,0.857785
1.767,0.857813
1.768,0.857793
1.769,0.857744
1.77,0.857813
1.771,0.857948
1.772,0.858077
1.773,0.858255
1.774,0.858389
1.775,0.858569
1.776,0.858651
1.777,0.858771
1.778,0.859018
1.779,0.859268
1.78,0.859572
1.781,0.859877
1.782,0.860034
1.783,0.860182
1.784,0.860391
1.785,0.86057
1.786,0.860785
1.787,0.861048
1.788,0.861259
1.789,0.861459
1.79,0.861659
1.791,0.861836
1.792,0.861957
1.793,0.86208
1.794,0.862346
1.795,0.862633
1.796,0.862957
1.797,0.863391
1.798,0.863749
1.799,0.864123
1.8,0.864569
1.801,0.830384
1.802,0.832122
1.803,0.8342
1.804,0.835936
1.805,0.837792
1.806,0.839278
1.807,0.840455
1.808,0.841583
1.809,0.842479
1.81,0.843295
1.811,0.844116
1.812,0.844789
1.813,0.845583
1.814,0.846423
1.815,0.847215
1.816,0.848009
1.817,0.848882
1.818,0.849556
1.819,0.8503
1.82,0.851216
1.821,0.852038
1.822,0.852787
1.823,0.853556
1.824,0.854263
1.825,0.854859
1.826,0.85543
1.827,0.856019
1.828,0.856594
1.829,0.857127
1.83,0.857764
1.831,0.858431
1.832,0.85916
1.833,0.859949
1.834,0.860837
1.835,0.861585
1.836,0.862335
1.837,0.863142
1.838,0.863709
1.839,0.864266
1.84,0.864843
1.841,0.865308
1.842,0.865725
1.843,0.86608
1.844,0.866453
1.845,0.866784
1.846,0.86701
1.847,0.867432
1.848,0.867964
1.849,0.868417
1.85,0.868881
1.851,0.869224
1.852,0.869366
1.853,0.869517
1.854,0.869629
1.855,0.869674
1.856,0.869647
1.857,0.869607
1.858,0.86947
1.859,0.869356
1.86,0.869467
1.861,0.869506
1.862,0.869438
1.863,0.869302
1.864,0.869069
1.865,0.868668
1.866,0.868233
1.867,0.867685
1.868,0.867086
1.869,0.866457
1.87,0.865591
1.871,0.864896
1.872,0.864294
1.873,0.863239
1.874,0.862056
1.875,0.860769
1.876,0.859357
1.877,0.857534
1.878,0.855684
1.879,0.853847
1.88,0.851762
1.881,0.849633
1.882,0.847401
1.883,0.844903
1.884,0.842221
1.885,0.839462
1.886,0.836552
1.887,0.83353
1.888,0.830354
1.889,0.827029
1.89,0.823474
1.891,0.819621
1.892,0.81554
1.893,0.811324
1.894,0.806919
1.895,0.802482
1.896,0.798026
1.897,0.79345
1.898,0.788786
1.899,0.784076
1.9,0.779105
1.901,0.774082
