Wavelength (nm),Orpiment
1.901,0.688487
1.902,0.682625
1.903,0.676648
1.904,0.670709
1.905,0.6649
1.906,0.659226
1.907,0.653701
1.908,0.648287
1.909,0.643054
1.91,0.637974
1.911,0.632989
1.912,0.628176
1.913,0.623587
1.914,0.619246
1.915,0.615083
1.916,0.611007
1.917,0.607218
1.918,0.603538
1.919,0.599975
1.92,0.596679
1.921,0.593625
1.922,0.590755
1.923,0.588211
1.924,0.585885
1.925,0.583739
1.926,0.581742
1.927,0.57982
1.928,0.578134
1.929,0.576596
1.93,0.57531
1.931,0.57424
1.932,0.573354
1.933,0.572658
1.934,0.57218
1.935,0.571975
1.936,0.571856
1.937,0.57196
1.938,0.572247
1.939,0.572583
1.94,0.573066
1.941,0.573648
1.942,0.574287
1.943,0.575009
1.944,0.575813
1.945,0.576645
1.946,0.577639
1.947,0.578822
1.948,0.580099
1.949,0.581578
1.95,0.583085
1.951,0.584623
1.952,0.586226
1.953,0.587924
1.954,0.589737
1.955,0.591591
1.956,0.593589
1.957,0.595474
1.958,0.597376
1.959,0.599206
1.96,0.600955
1.961,0.602804
1.962,0.604692
1.963,0.60643
1.964,0.608232
1.965,0.610071
1.966,0.611901
1.967,0.613795
1.968,0.615607
1.969,0.617287
1.97,0.619119
1.971,0.621024
1.972,0.622811
1.973,0.624698
1.974,0.626703
1.975,0.628526
1.976,0.630413
1.977,0.632391
1.978,0.634327
1.979,0.636279
1.98,0.638311
1.981,0.640222
1.982,0.64209
1.983,0.643916
1.984,0.645686
1.985,0.64739
1.986,0.649067
1.987,0.650696
1.988,0.652322
1.989,0.653842
1.99,0.655406
1.991,0.657019
1.992,0.658551
1.993,0.660023
1.994,0.661534
1.995,0.663055
1.996,0.664466
1.997,0.665925
1.998,0.667193
1.999,0.668306
2.0,0.669536
2.001,0.670624
2.002,0.671755
2.003,0.672772
2.004,0.673728
2.005,0.674571
2.006,0.675302
2.007,0.675999
2.008,0.676717
2.009,0.677222
2.01,0.677521
2.011,0.677871
2.012,0.678162
2.013,0.678309
2.014,0.678415
2.015,0.678595
2.016,0.678615
2.017,0.678483
2.018,0.678311
2.019,0.678149
2.02,0.677786
2.021,0.677198
2.022,0.67666
2.023,0.676053
2.024,0.675383
2.025,0.674672
2.026,0.67397
2.027,0.673084
2.028,0.672115
2.029,0.671156
2.03,0.670072
2.031,0.668981
2.032,0.667858
2.033,0.666704
2.034,0.665489
2.035,0.664276
2.036,0.663002
2.037,0.661765
2.038,0.660539
2.039,0.659294
2.04,0.657983
2.041,0.656869
2.042,0.655639
2.043,0.654367
2.044,0.653107
2.045,0.651843
2.046,0.650527
2.047,0.649148
2.048,0.647861
2.049,0.646617
2.05,0.645316
2.051,0.643966
2.052,0.642736
2.053,0.64147
2.054,0.640324
2.055,0.639382
2.056,0.638413
2.057,0.63736
2.058,0.636275
2.059,0.635153
2.06,0.6339
2.061,0.632819
2.062,0.631761
2.063,0.630782
2.064,0.629918
2.065,0.629054
2.066,0.628228
2.067,0.627404
2.068,0.626647
2.069,0.625836
2.07,0.624974
2.071,0.624189
2.072,0.623367
2.073,0.622554
2.074,0.621791
2.075,0.621077
2.076,0.620377
2.077,0.619736
2.078,0.619018
2.079,0.61819
2.08,0.617556
2.081,0.616975
2.082,0.616443
2.083,0.616076
2.084,0.61568
2.085,0.615316
2.086,0.614907
2.087,0.614494
2.088,0.614112
2.089,0.613614
2.09,0.613181
2.091,0.612999
2.092,0.613023
2.093,0.612954
2.094,0.613103
2.095,0.613066
2.096,0.612837
2.097,0.612785
2.098,0.612748
2.099,0.612812
2.1,0.613072
2.101,0.613172
2.102,0.613253
2.103,0.613312
2.104,0.613358
2.105,0.61351
2.106,0.613737
2.107,0.613963
2.108,0.614175
2.109,0.61425
2.11,0.61459
2.111,0.615092
2.112,0.615554
2.113,0.616156
2.114,0.616691
2.115,0.617144
2.116,0.617699
2.117,0.61827
2.118,0.618935
2.119,0.619751
2.12,0.620479
2.121,0.621157
2.122,0.621997
2.123,0.622775
2.124,0.623515
2.125,0.62425
2.126,0.625001
2.127,0.625778
2.128,0.626558
2.129,0.627268
2.13,0.628045
2.131,0.628697
2.132,0.62912
2.133,0.62973
2.134,0.630339
2.135,0.63107
2.136,0.631991
2.137,0.63282
2.138,0.633699
2.139,0.634535
2.14,0.635294
2.141,0.636077
2.142,0.636918
2.143,0.637716
2.144,0.638493
2.145,0.639298
2.146,0.639984
2.147,0.640529
2.148,0.641215
2.149,0.641864
2.15,0.642592
2.151,0.6435
2.152,0.644254
2.153,0.644949
2.154,0.645663
2.155,0.646321
2.156,0.647009
2.157,0.647678
2.158,0.648394
2.159,0.649096
2.16,0.649903
2.161,0.650688
2.162,0.651501
2.163,0.65231
2.164,0.653082
2.165,0.653929
2.166,0.654919
2.167,0.655678
2.168,0.656394
2.169,0.657038
2.17,0.657387
2.171,0.658039
2.172,0.658798
2.173,0.659567
2.174,0.660528
2.175,0.661369
2.176,0.662105
2.177,0.662959
2.178,0.663848
2.179,0.66478
2.18,0.665639
2.181,0.666539
2.182,0.667423
2.183,0.668062
2.184,0.668853
2.185,0.669771
2.186,0.670639
2.187,0.671548
2.188,0.67242
2.189,0.673256
2.19,0.674112
2.191,0.67491
2.192,0.675846
2.193,0.676925
2.194,0.677886
2.195,0.678861
2.196,0.679828
2.197,0.680686
2.198,0.681625
2.199,0.68267
2.2,0.683658
2.201,0.684548
2.202,0.685604
2.203,0.686738
2.204,0.687632
2.205,0.688465
2.206,0.689289
2.207,0.690183
2.208,0.691216
2.209,0.692198
2.21,0.693442
2.211,0.694299
2.212,0.694928
2.213,0.695561
2.214,0.695978
2.215,0.696575
2.216,0.697224
2.217,0.697832
2.218,0.698567
2.219,0.699151
2.22,0.699607
2.221,0.700019
2.222,0.700386
2.223,0.700651
2.224,0.70084
2.225,0.700999
2.226,0.701069
2.227,0.701143
2.228,0.70108
2.229,0.700871
2.23,0.700631
2.231,0.700184
2.232,0.699758
2.233,0.699416
2.234,0.698963
2.235,0.698379
2.236,0.697598
2.237,0.696693
2.238,0.695568
2.239,0.694196
2.24,0.692759
2.241,0.691177
2.242,0.689419
2.243,0.687338
2.244,0.685533
2.245,0.68375
2.246,0.68185
2.247,0.680214
2.248,0.678151
2.249,0.675602
2.25,0.673269
2.251,0.670814
2.252,0.668454
2.253,0.666201
2.254,0.663948
2.255,0.661695
2.256,0.659407
2.257,0.657363
2.258,0.655409
2.259,0.653597
2.26,0.651917
2.261,0.650132
2.262,0.648556
2.263,0.647291
2.264,0.646209
2.265,0.645256
2.266,0.644364
2.267,0.643403
2.268,0.642215
2.269,0.64105
2.27,0.639871
2.271,0.638635
2.272,0.637175
2.273,0.636158
2.274,0.635235
2.275,0.634447
2.276,0.634042
2.277,0.633418
2.278,0.632829
2.279,0.632212
2.28,0.631459
2.281,0.630893
2.282,0.630473
2.283,0.629915
2.284,0.629514
2.285,0.628858
2.286,0.627702
2.287,0.627039
2.288,0.626499
2.289,0.626102
2.29,0.625945
2.291,0.625686
2.292,0.62505
2.293,0.624462
2.294,0.623743
2.295,0.622866
2.296,0.622348
2.297,0.621821
2.298,0.621271
2.299,0.620774
2.3,0.62008
2.301,0.619505
2.302,0.61901
2.303,0.618622
2.304,0.61827
2.305,0.617549
2.306,0.616956
2.307,0.616475
2.308,0.615759
2.309,0.615057
2.31,0.61406
2.311,0.613193
2.312,0.612503
2.313,0.611838
2.314,0.6114
2.315,0.611322
2.316,0.610931
2.317,0.610784
2.318,0.61012
2.319,0.608816
2.32,0.608168
2.321,0.607515
2.322,0.607071
2.323,0.607217
2.324,0.607027
2.325,0.606529
2.326,0.606249
2.327,0.606031
2.328,0.605964
2.329,0.606245
2.33,0.60632
2.331,0.606134
2.332,0.60634
2.333,0.606979
2.334,0.606961
2.335,0.606739
2.336,0.606825
2.337,0.606396
2.338,0.606222
2.339,0.606863
2.34,0.607448
2.341,0.607716
2.342,0.607632
2.343,0.607436
2.344,0.607729
2.345,0.608167
2.346,0.608216
2.347,0.608281
2.348,0.607937
2.349,0.607087
2.35,0.607325
2.351,0.608073
2.352,0.6085
2.353,0.609469
2.354,0.609944
2.355,0.609353
2.356,0.608866
2.357,0.608738
2.358,0.608578
2.359,0.608784
2.36,0.60951
2.361,0.61005
2.362,0.610635
2.363,0.61164
2.364,0.611669
2.365,0.610638
2.366,0.610148
2.367,0.610041
2.368,0.610389
2.369,0.61171
2.37,0.612445
2.371,0.611691
2.372,0.61085
2.373,0.61061
2.374,0.610895
2.375,0.611884
2.376,0.612988
2.377,0.613393
2.378,0.61357
2.379,0.61341
2.38,0.612738
2.381,0.612435
2.382,0.612263
2.383,0.61244
2.384,0.61283
2.385,0.612262
2.386,0.611324
2.387,0.6108
2.388,0.610689
2.389,0.610999
2.39,0.611151
2.391,0.610272
2.392,0.60877
2.393,0.607883
2.394,0.606945
2.395,0.606275
2.396,0.606261
2.397,0.6052
2.398,0.604385
2.399,0.604043
2.4,0.602862
2.401,0.602084
2.402,0.600913
2.403,0.599575
2.404,0.599117
2.405,0.598469
2.406,0.5981
2.407,0.596454
2.408,0.594094
2.409,0.593321
2.41,0.592708
2.411,0.59289
2.412,0.592794
2.413,0.591279
2.414,0.589425
2.415,0.587575
2.416,0.586715
2.417,0.585449
2.418,0.583942
2.419,0.58278
2.42,0.581053
2.421,0.579832
2.422,0.578564
2.423,0.576019
2.424,0.573372
2.425,0.57228
2.426,0.57151
2.427,0.571327
2.428,0.571687
2.429,0.570086
2.43,0.568227
2.431,0.566654
2.432,0.564868
2.433,0.563496
2.434,0.560791
2.435,0.558733
2.436,0.558377
2.437,0.556958
2.438,0.556829
2.439,0.556416
2.44,0.553826
2.441,0.551012
2.442,0.548339
2.443,0.546639
2.444,0.543906
2.445,0.54112
2.446,0.540281
2.447,0.538773
2.448,0.535701
2.449,0.535049
2.45,0.536347
2.451,0.535441
2.452,0.53464
2.453,0.534076
2.454,0.530685
2.455,0.528513
2.456,0.526909
2.457,0.523469
2.458,0.521216
2.459,0.517152
2.46,0.515801
2.461,0.519359
2.462,0.521042
2.463,0.522125
2.464,0.520586
2.465,0.517675
2.466,0.514021
2.467,0.509338
2.468,0.510221
2.469,0.51131
2.47,0.513767
2.471,0.518669
2.472,0.520258
2.473,0.522563
2.474,0.52004
2.475,0.51443
2.476,0.510036
2.477,0.508299
2.478,0.512426
2.479,0.513545
2.48,0.51412
2.481,0.513839
2.482,0.51092
2.483,0.509084
2.484,0.508786
2.485,0.506077
2.486,0.5014
2.487,0.499
2.488,0.495144
2.489,0.493426
2.49,0.493886
2.491,0.495254
2.492,0.497847
2.493,0.498387
2.494,0.501693
2.495,0.501317
2.496,0.498763
2.497,0.500734
2.498,0.501759
2.499,0.499926
2.5,0.500611
