Wavelength (nm),Lead White
1.902,0.962097
1.903,0.959157
1.904,0.956201
1.905,0.953386
1.906,0.950615
1.907,0.947678
1.908,0.94479
1.909,0.941943
1.91,0.939107
1.911,0.936193
1.912,0.933418
1.913,0.93065
1.914,0.927912
1.915,0.925388
1.916,0.923037
1.917,0.920871
1.918,0.918825
1.919,0.916734
1.92,0.914741
1.921,0.912797
1.922,0.910929
1.923,0.909093
1.924,0.907498
1.925,0.90604
1.926,0.904681
1.927,0.903519
1.928,0.902382
1.929,0.901321
1.93,0.900443
1.931,0.899679
1.932,0.899088
1.933,0.898586
1.934,0.898245
1.935,0.897861
1.936,0.897586
1.937,0.897395
1.938,0.897293
1.939,0.897323
1.94,0.897673
1.941,0.898113
1.942,0.898525
1.943,0.899096
1.944,0.899646
1.945,0.900154
1.946,0.900655
1.947,0.901377
1.948,0.902172
1.949,0.902984
1.95,0.903768
1.951,0.904636
1.952,0.905488
1.953,0.906325
1.954,0.907196
1.955,0.908107
1.956,0.909025
1.957,0.909867
1.958,0.910707
1.959,0.911579
1.96,0.912288
1.961,0.913017
1.962,0.913917
1.963,0.914626
1.964,0.915337
1.965,0.916182
1.966,0.917018
1.967,0.917807
1.968,0.918744
1.969,0.919777
1.97,0.920818
1.971,0.921943
1.972,0.923093
1.973,0.924131
1.974,0.925214
1.975,0.926272
1.976,0.927223
1.977,0.928267
1.978,0.92929
1.979,0.930239
1.98,0.931194
1.981,0.932024
1.982,0.932749
1.983,0.933434
1.984,0.93405
1.985,0.934555
1.986,0.935055
1.987,0.935579
1.988,0.936142
1.989,0.936684
1.99,0.937164
1.991,0.937642
1.992,0.938065
1.993,0.938335
1.994,0.938787
1.995,0.939318
1.996,0.939824
1.997,0.940415
1.998,0.940914
1.999,0.94146
2.0,0.942097
2.001,0.942739
2.002,0.943429
2.003,0.944016
2.004,0.944512
2.005,0.945043
2.006,0.945572
2.007,0.946049
2.008,0.946601
2.009,0.946964
2.01,0.947146
2.011,0.947373
2.012,0.947485
2.013,0.947624
2.014,0.94786
2.015,0.948165
2.016,0.948408
2.017,0.948694
2.018,0.948901
2.019,0.948993
2.02,0.949211
2.021,0.949524
2.022,0.949704
2.023,0.949797
2.024,0.949997
2.025,0.950194
2.026,0.950376
2.027,0.950571
2.028,0.950883
2.029,0.951011
2.03,0.950995
2.031,0.950904
2.032,0.950679
2.033,0.950527
2.034,0.95028
2.035,0.950097
2.036,0.950062
2.037,0.949852
2.038,0.949491
2.039,0.94919
2.04,0.948817
2.041,0.948528
2.042,0.94824
2.043,0.947909
2.044,0.947618
2.045,0.947316
2.046,0.947009
2.047,0.946789
2.048,0.946459
2.049,0.946014
2.05,0.945612
2.051,0.94516
2.052,0.944755
2.053,0.944347
2.054,0.944003
2.055,0.943736
2.056,0.943464
2.057,0.943102
2.058,0.942861
2.059,0.94249
2.06,0.941982
2.061,0.941597
2.062,0.94121
2.063,0.940846
2.064,0.940534
2.065,0.94025
2.066,0.939993
2.067,0.939737
2.068,0.939589
2.069,0.939314
2.07,0.938994
2.071,0.938579
2.072,0.938154
2.073,0.93779
2.074,0.937502
2.075,0.937277
2.076,0.937089
2.077,0.937031
2.078,0.936809
2.079,0.936571
2.08,0.936295
2.081,0.935835
2.082,0.935575
2.083,0.935392
2.084,0.935222
2.085,0.935204
2.086,0.935082
2.087,0.934898
2.088,0.934771
2.089,0.934494
2.09,0.934331
2.091,0.934273
2.092,0.934314
2.093,0.93426
2.094,0.934284
2.095,0.934286
2.096,0.934146
2.097,0.934173
2.098,0.934359
2.099,0.934505
2.1,0.93474
2.101,0.934863
2.102,0.935016
2.103,0.934974
2.104,0.934926
2.105,0.934977
2.106,0.935008
2.107,0.93508
2.108,0.935284
2.109,0.935597
2.11,0.935848
2.111,0.9362
2.112,0.936505
2.113,0.936681
2.114,0.93699
2.115,0.93738
2.116,0.937814
2.117,0.938357
2.118,0.938845
2.119,0.939442
2.12,0.939892
2.121,0.940212
2.122,0.940537
2.123,0.940819
2.124,0.941035
2.125,0.941446
2.126,0.941936
2.127,0.942484
2.128,0.943207
2.129,0.943811
2.13,0.944534
2.131,0.945003
2.132,0.945265
2.133,0.945637
2.134,0.945819
2.135,0.946187
2.136,0.946763
2.137,0.947209
2.138,0.947667
2.139,0.948091
2.14,0.948433
2.141,0.948883
2.142,0.949252
2.143,0.949615
2.144,0.949869
2.145,0.950051
2.146,0.950121
2.147,0.95001
2.148,0.95007
2.149,0.950077
2.15,0.950166
2.151,0.950468
2.152,0.950568
2.153,0.95059
2.154,0.950597
2.155,0.950454
2.156,0.950439
2.157,0.95044
2.158,0.950481
2.159,0.950679
2.16,0.950764
2.161,0.950793
2.162,0.950758
2.163,0.95076
2.164,0.95067
2.165,0.950715
2.166,0.950879
2.167,0.950943
2.168,0.951054
2.169,0.951067
2.17,0.950891
2.171,0.950935
2.172,0.951075
2.173,0.951126
2.174,0.951301
2.175,0.951405
2.176,0.95139
2.177,0.951399
2.178,0.951515
2.179,0.951434
2.18,0.951191
2.181,0.951116
2.182,0.951263
2.183,0.951452
2.184,0.951737
2.185,0.952059
2.186,0.952257
2.187,0.95234
2.188,0.952376
2.189,0.952373
2.19,0.952311
2.191,0.952085
2.192,0.951977
2.193,0.951898
2.194,0.951843
2.195,0.951727
2.196,0.951746
2.197,0.951867
2.198,0.952042
2.199,0.95247
2.2,0.952707
2.201,0.952909
2.202,0.9529
2.203,0.953268
2.204,0.953512
2.205,0.953739
2.206,0.954347
2.207,0.954653
2.208,0.954875
2.209,0.955199
2.21,0.95567
2.211,0.955912
2.212,0.956074
2.213,0.956189
2.214,0.956161
2.215,0.956214
2.216,0.956305
2.217,0.956265
2.218,0.956233
2.219,0.956105
2.22,0.955879
2.221,0.955579
2.222,0.955143
2.223,0.954706
2.224,0.95416
2.225,0.953642
2.226,0.953108
2.227,0.95268
2.228,0.95204
2.229,0.951581
2.23,0.951176
2.231,0.950624
2.232,0.950238
2.233,0.949537
2.234,0.948609
2.235,0.947828
2.236,0.947089
2.237,0.946339
2.238,0.945612
2.239,0.94516
2.24,0.944227
2.241,0.943011
2.242,0.941822
2.243,0.940343
2.244,0.939017
2.245,0.937798
2.246,0.936439
2.247,0.934978
2.248,0.933556
2.249,0.932137
2.25,0.930681
2.251,0.929241
2.252,0.927797
2.253,0.926278
2.254,0.924667
2.255,0.923109
2.256,0.921398
2.257,0.919283
2.258,0.917516
2.259,0.915814
2.26,0.913914
2.261,0.912293
2.262,0.910735
2.263,0.909138
2.264,0.907925
2.265,0.906858
2.266,0.905898
2.267,0.905172
2.268,0.904311
2.269,0.903531
2.27,0.902823
2.271,0.90221
2.272,0.90151
2.273,0.901185
2.274,0.901125
2.275,0.901068
2.276,0.901302
2.277,0.901438
2.278,0.901773
2.279,0.901717
2.28,0.901431
2.281,0.901152
2.282,0.900746
2.283,0.900112
2.284,0.899382
2.285,0.898611
2.286,0.897536
2.287,0.896461
2.288,0.895419
2.289,0.89435
2.29,0.893067
2.291,0.891569
2.292,0.889716
2.293,0.887655
2.294,0.885573
2.295,0.883363
2.296,0.881228
2.297,0.878991
2.298,0.876244
2.299,0.872978
2.3,0.86957
2.301,0.86611
2.302,0.862494
2.303,0.858974
2.304,0.85546
2.305,0.852079
2.306,0.848812
2.307,0.845673
2.308,0.842701
2.309,0.839444
2.31,0.836216
2.311,0.83318
2.312,0.830776
2.313,0.828847
2.314,0.827143
2.315,0.826157
2.316,0.825012
2.317,0.823988
2.318,0.822899
2.319,0.821847
2.32,0.821032
2.321,0.819996
2.322,0.819577
2.323,0.81992
2.324,0.819947
2.325,0.820156
2.326,0.820456
2.327,0.820426
2.328,0.820996
2.329,0.821869
2.33,0.823138
2.331,0.825059
2.332,0.826877
2.333,0.829192
2.334,0.831369
2.335,0.833564
2.336,0.835461
2.337,0.837815
2.338,0.8399
2.339,0.841889
2.34,0.844213
2.341,0.845715
2.342,0.846993
2.343,0.848398
2.344,0.849852
2.345,0.851735
2.346,0.852788
2.347,0.853894
2.348,0.854965
2.349,0.855129
2.35,0.856066
2.351,0.857059
2.352,0.857755
2.353,0.859502
2.354,0.861582
2.355,0.863128
2.356,0.864257
2.357,0.864625
2.358,0.864476
2.359,0.86478
2.36,0.865528
2.361,0.865987
2.362,0.866504
2.363,0.867477
2.364,0.867779
2.365,0.868298
2.366,0.869279
2.367,0.869443
2.368,0.87001
2.369,0.871198
2.37,0.872189
2.371,0.873012
2.372,0.873529
2.373,0.873462
2.374,0.873602
2.375,0.874544
2.376,0.875533
2.377,0.876301
2.378,0.876621
2.379,0.876478
2.38,0.875756
2.381,0.875196
2.382,0.87554
2.383,0.875995
2.384,0.876515
2.385,0.876756
2.386,0.876703
2.387,0.876268
2.388,0.875109
2.389,0.874261
2.39,0.873732
2.391,0.873206
2.392,0.873174
2.393,0.873424
2.394,0.873452
2.395,0.873293
2.396,0.873163
2.397,0.872533
2.398,0.871875
2.399,0.871983
2.4,0.871666
2.401,0.870796
2.402,0.869189
2.403,0.866701
2.404,0.864725
2.405,0.863909
2.406,0.864953
2.407,0.865832
2.408,0.865403
2.409,0.86478
2.41,0.863595
2.411,0.862174
2.412,0.861252
2.413,0.861571
2.414,0.860562
2.415,0.859425
2.416,0.859491
2.417,0.858061
2.418,0.858129
2.419,0.858369
2.42,0.857371
2.421,0.856317
2.422,0.85383
2.423,0.852196
2.424,0.85149
2.425,0.851882
2.426,0.852096
2.427,0.850324
2.428,0.848859
2.429,0.847535
2.43,0.846748
2.431,0.844904
2.432,0.842181
2.433,0.840448
2.434,0.837469
2.435,0.836794
2.436,0.838332
2.437,0.836874
2.438,0.836639
2.439,0.838288
2.44,0.837597
2.441,0.835463
2.442,0.835066
2.443,0.834258
2.444,0.83271
2.445,0.835003
2.446,0.834654
2.447,0.831692
2.448,0.828776
2.449,0.824045
2.45,0.82282
2.451,0.822626
2.452,0.822753
2.453,0.823928
2.454,0.822789
2.455,0.822186
2.456,0.820371
2.457,0.817568
2.458,0.816351
2.459,0.813845
2.46,0.812828
2.461,0.814487
2.462,0.814874
2.463,0.815589
2.464,0.815812
2.465,0.81334
2.466,0.810116
2.467,0.805532
2.468,0.804447
2.469,0.805813
2.47,0.807828
2.471,0.811578
2.472,0.810901
2.473,0.811126
2.474,0.813535
2.475,0.81161
2.476,0.808424
2.477,0.808465
2.478,0.809978
2.479,0.809649
2.48,0.810301
2.481,0.81029
2.482,0.806675
2.483,0.806641
2.484,0.812354
2.485,0.811375
2.486,0.805164
2.487,0.803025
2.488,0.798883
2.489,0.798918
2.49,0.805188
2.491,0.803484
2.492,0.801512
2.493,0.798747
2.494,0.801882
2.495,0.804397
2.496,0.806102
2.497,0.80505
2.498,0.802128
2.499,0.808525
2.5,0.813578
